x,y,Class
continuous,continuous,C1 C2 C3 C4
,,class
10.277.283.337.102.500,9.453.343.823.592.960,C1
9.912.306.392.967.430,9.074.285.381.822.050,C1
0.0,7.808.197.682.500.060,C1
779.655.418.462.629,7.802.801.294.526.860,C1
10.832.726.799.878.000,7.812.984.055.647.560,C1
14.250.078.194.948.500,8.570.015.952.834.290,C1
11.452.325.063.500.400,8.669.039.916.935.840,C1
213.202.267.527.228,874.286.743.024.762,C1
2.383.474.577.344.740,8.460.486.858.915.360,C1
12.440.878.457.857.700,9.556.515.129.732.210,C1
17.645.271.582.668.500,9.394.180.128.164.050,C1
11.740.767.341.590.000,9.856.372.044.244.580,C1
1.329.719.431.394.460,1.0,C1
59.790.123.085.760.500,9.282.677.469.347.040,C1
785.727.086.296.965,8.868.069.964.519.320,C1
7.013.046.495.232.920,7.841.268.291.752.870,C1
16.165.740.212.986.900,7.563.265.052.722.530,C1
16.636.820.755.355.000,7.765.870.788.815.230,C1
2.745.821.198.840.490,7.592.244.209.010.130,C1
24.282.867.362.955.000,7.506.998.866.984.380,C1
20.410.910.740.783.600,8.645.414.489.895.820,C1
22.369.165.168.473.500,8.353.641.658.542.730,C1
2.190.650.042.929.120,8.671.824.579.421.420,C1
222.932.170.012.087,8.596.130.346.093.010,C1
24.951.756.367.733.000,8.716.348.389.035.590,C1
16.021.155.096.938.300,8.497.449.110.266.710,C1
16.910.229.338.810.100,8.619.409.254.471.220,C1
1.864.594.031.046.290,807.388.604.691.385,C1
15.022.723.223.434.900,8.271.255.214.477.880,C1
1.926.185.170.028.700,8.053.667.670.930.730,C1
153.206.733.605.671,901.449.625.884.755,C1
11.411.504.787.776.700,9.207.914.753.992.080,C1
1.623.479.705.548.100,9.054.078.252.015.810,C1
11.026.778.779.604.900,8.915.568.130.036.680,C1
10.795.039.073.856.400,8.730.728.065.037.760,C1
13.594.625.413.619.300,8.250.277.790.389.510,C1
1.578.718.496.576.700,7.678.207.200.494.970,C1
11.506.886.548.272.300,7.911.962.209.129.930,C1
8.530.364.271.695.080,7.498.935.652.234.200,C1
12.089.111.820.077.400,7.193.020.959.050.310,C1
12.555.831.695.095.200,7.505.393.230.054.120,C1
28.785.477.634.153.000,7.173.765.569.644.500,C1
23.679.188.016.456.100,7.190.813.008.931.970,C1
2.990.676.508.190.570,7.831.777.408.530.700,C1
23.150.497.717.350.900,7.459.927.917.666.910,C1
290.369.360.323.143,8.573.513.172.426.440,C1
25.723.215.703.321.100,7.652.239.287.357.100,C1
2.011.438.280.742.050,8.331.399.684.036.790,C1
2.106.732.497.576.790,8.806.859.000.076.310,C1
20.391.286.540.776.200,8.770.423.533.444.620,C1
25.051.872.430.494.300,8.804.969.561.799.860,C1
7.684.679.051.159.390,9.312.509.701.566.710,C2
7.293.256.878.524.400,8.495.592.091.428.900,C2
6.885.451.068.056.210,764.111.349.856.915,C2
6.979.845.625.073.710,7.001.496.636.557.950,C2
6.640.848.337.115.140,6.926.778.377.432.930,C2
7.301.722.478.053.180,7.068.042.877.259.100,C2
7.764.795.185.143.240,6.424.351.092.764.440,C2
8.574.591.412.053.880,6.222.653.693.477.780,C2
9.014.325.903.071.630,6.807.613.841.396.320,C2
866.984.025.917.414,7.881.289.420.319.150,C2
8.715.895.230.050.990,7.733.396.144.150.480,C2
9.513.155.487.121.790,9.231.391.683.102.310,C2
8.931.193.207.876.580,8.520.267.501.320.550,C2
907.599.225.038.915,9.451.648.744.186.300,C2
8.295.745.613.056.810,8.313.044.431.878.790,C2
7.624.368.153.387.250,7.693.479.822.105.160,C2
7.994.274.070.257.490,7.282.122.333.627.660,C2
7.553.180.778.790.340,6.918.256.959.108.360,C2
7.721.230.962.069.500,7.468.965.992.458.060,C2
8.113.352.227.645.820,8.063.764.321.482.530,C2
8.567.072.047.960.620,8.084.368.322.907.090,C2
7.780.436.147.683.350,9.336.930.420.942.650,C2
7.880.404.822.920.360,9.163.713.272.999.500,C2
7.372.023.924.393.800,8.588.646.469.755.020,C2
7.354.284.729.467.530,8.707.148.059.751.620,C2
7.467.563.935.819.400,7.988.738.904.898.770,C2
7.421.208.092.495.890,8.388.964.544.200.270,C2
7.156.537.639.139.500,7.882.556.210.700.630,C2
8.026.164.385.903.300,6.801.558.691.730.530,C2
8.476.238.290.446.820,7.667.028.284.001.540,C2
8.633.841.659.797.510,8.454.848.878.451.390,C2
9.188.644.928.425.000,8.049.493.429.560.070,C2
8.891.120.404.863.500,8.651.268.537.338.180,C2
8.273.403.826.729.990,8.782.069.784.254.400,C2
9.193.844.583.656.200,9.302.179.499.398.840,C2
7.075.950.213.168.670,8.738.855.393.075.210,C2
7.044.909.148.598.130,7.802.365.727.354.750,C2
7.138.311.170.551.310,7.832.899.058.840.970,C2
6.601.573.141.842.020,7.266.305.641.144.110,C2
7.911.324.444.753.630,6.869.999.927.609.550,C2
7.093.934.251.157.850,7.417.159.049.550.200,C2
7.468.396.091.043.870,7.571.979.301.324.690,C2
8.007.715.870.586.830,6.929.043.183.297.870,C2
8.280.993.505.233.510,6.834.778.267.371.300,C2
7.772.254.462.393.980,8.092.528.769.655.280,C2
7.846.617.731.108.410,8.202.872.068.580.910,C2
8.275.482.133.022.140,8.252.931.306.982.110,C2
824.844.755.015.494,8.385.836.985.841.650,C2
8.220.772.123.846.870,26.808.516.407.217.400,C3
7.734.698.144.767.280,24.113.950.500.910.500,C3
7.673.728.473.691.100,2.595.531.399.331.140,C3
7.696.550.307.024.160,24.351.010.774.072.900,C3
7.590.118.546.835.230,1.635.007.912.009.260,C3
7.128.745.721.097.860,2.290.997.212.276.070,C3
76.441.169.018.905,13.859.343.724.062.000,C3
7.538.523.704.413.680,1.212.582.240.552.310,C3
7.255.614.762.592.770,11.526.260.485.577.900,C3
7.881.592.780.640.190,9.900.611.222.586.450,C3
7.470.643.976.825.370,10.883.498.542.983.100,C3
852.426.066.126.667,1.124.936.300.770.920,C3
8.257.058.890.134.190,6.207.263.762.716.820,C3
9.067.594.246.803.160,1.612.698.307.534.150,C3
8.571.275.645.558.020,11.025.161.162.072.800,C3
9.088.450.388.227.000,1.320.417.708.787.880,C3
8.956.142.157.889.150,29.236.161.091.099.800,C3
8.708.190.604.685.970,29.456.024.661.106.600,C3
8.783.414.368.502.720,3.153.276.706.623.690,C3
853.007.292.302.312,3.122.883.195.798.630,C3
8.123.052.334.703.480,30.212.525.920.721.900,C3
729.369.280.425.318,2.467.689.800.617.620,C3
7.919.051.808.359.750,24.513.869.052.230.200,C3
7.726.772.828.710.080,2.824.647.655.877.670,C3
7.839.208.681.104.450,23.851.568.963.285.500,C3
7.614.694.524.562.440,21.220.932.965.222.200,C3
7.511.009.873.274.400,16.543.709.869.405.800,C3
778.613.970.288.351,18.226.294.829.138.100,C3
8.592.778.035.919.960,16.592.914.654.339.300,C3
752.459.044.421.854,23.114.690.350.874.500,C3
8.263.861.672.014.580,21.387.170.120.976.500,C3
8.838.445.667.582.770,20.831.106.122.003.200,C3
829.107.039.656.055,24.131.709.229.022.400,C3
8.380.661.086.510.150,22.599.041.164.620.100,C3
7.923.564.315.882.450,1.989.473.450.137.840,C3
8.533.069.422.897.570,22.486.718.195.995.100,C3
8.475.419.282.001.570,22.963.489.565.343.400,C3
8.058.968.057.965.310,1.873.638.595.949.930,C3
8.068.330.010.673.370,20.628.007.255.012.200,C3
7.945.840.139.084.190,7.832.114.619.868.800,C3
8.711.904.487.377.460,15.365.594.294.837.900,C3
8.691.004.765.641.940,23.134.894.868.978.900,C3
7.906.542.821.445.780,1.887.750.668.924.200,C3
7.944.183.948.650.320,18.518.715.976.703.200,C3
7.616.978.048.122.760,17.798.100.802.234.100,C3
7.594.866.343.896.060,19.382.605.651.217.500,C3
7.983.715.226.322.920,20.977.532.726.853.700,C3
6.863.884.808.702.020,1.560.511.122.209.130,C3
7.309.221.927.263.290,19.679.434.849.490.200,C3
7.466.005.756.172.740,19.192.901.456.781.600,C3
7.750.720.230.198.930,21.964.658.559.737.000,C3
8.361.710.895.940.690,16.527.925.414.113.500,C3
8.347.546.419.931.300,2.670.557.813.437.450,C3
8.360.223.409.985.650,2.424.921.499.907.340,C3
8.471.891.329.819.320,24.512.111.481.628.200,C3
18.609.053.876.378.700,3.491.082.329.603.800,C4
12.537.668.608.645.900,3.432.849.804.007.080,C4
16.824.524.166.492.400,2.763.707.939.509.450,C4
9.193.765.271.995.170,15.091.289.287.564.100,C4
16.136.941.675.431.100,2.029.713.100.212.360,C4
16.118.017.042.029.300,14.978.258.413.376.000,C4
15.064.295.857.200.600,17.977.551.947.475.100,C4
18.423.202.482.216.300,15.768.725.323.837.700,C4
1.642.490.008.212.760,19.827.530.195.030.100,C4
28.540.803.202.195.500,1.942.266.676.651.220,C4
2.564.385.016.577.630,1.948.849.156.541.270,C4
2.926.267.368.732.480,20.043.709.142.800.200,C4
1.700.435.978.216.740,26.837.399.509.893.400,C4
19.888.094.915.068.200,33.506.311.697.948.900,C4
22.020.086.888.518.700,24.388.735.386.755.800,C4
17.539.012.988.110.400,19.989.448.524.309.000,C4
6.159.750.625.686.860,3.848.079.865.991.650,C4
9.430.491.213.264.490,3.177.868.345.406.750,C4
6.867.798.121.675.200,26.321.219.914.471.000,C4
13.288.783.924.827.900,23.772.679.914.584.600,C4
1.603.279.379.202.020,17.719.493.549.704.200,C4
19.980.698.544.772.400,13.800.557.203.582.100,C4
14.861.032.337.127.200,13.756.201.109.842.800,C4
1.930.246.356.870.770,12.916.988.673.594.200,C4
20.443.813.552.434.000,11.925.324.032.710.600,C4
3.786.512.457.625.630,10.628.858.726.096.600,C4
3.611.620.061.390.160,21.628.044.491.686.900,C4
2.681.240.387.449.430,26.421.764.066.467.900,C4
3.352.285.051.405.530,2.579.373.351.290.260,C4
38.524.349.521.589.500,24.582.264.001.689.200,C4
2.568.315.487.724.790,3.490.258.410.750.210,C4
24.019.802.772.753.300,35.491.071.954.781.900,C4
2.554.022.241.410.240,4.048.658.029.968.920,C4
2.090.672.165.209.650,3.243.678.544.558.560,C4
2.046.110.446.532.580,3.729.869.827.506.630,C4
24.077.066.297.297.700,39.772.080.574.341.600,C4
17.199.553.173.814.400,37.999.057.397.644.300,C4
13.189.155.866.181.900,31.707.340.036.588.700,C4
14.845.801.331.318.200,22.923.919.096.554.000,C4
15.337.476.673.737.900,20.568.686.833.154.300,C4
1.560.795.574.669.330,22.065.501.938.317.300,C4
1.616.549.288.955.490,2.683.089.355.661.030,C4
21.948.048.541.450.300,2.731.249.642.864.750,C4
24.711.010.790.947.500,34.200.238.062.188.300,C4
26.012.194.656.514.000,38.320.661.056.750.100,C4
3.045.267.581.424.980,3.286.891.528.743.480,C4
24.549.393.161.968.400,3.787.931.556.261.360,C4
23.808.772.965.941.200,3.512.700.344.753.190,C4
25.757.283.048.855.200,2.729.935.601.950.040,C4
210.032.951.645.661,2.140.360.455.760.760,C4
19.303.019.956.584.600,15.637.621.297.398.100,C4
2.789.822.321.982.750,11.073.874.282.275.300,C4
40.120.656.269.792.300,10.031.009.722.149.100,C4
32.753.798.562.701.000,1.903.939.087.960.280,C4
29.694.652.903.537.500,16.005.380.385.309.000,C4
3.376.074.886.648.480,18.801.431.609.035.400,C4
35.458.956.599.080.800,24.832.656.141.578.400,C4
2.424.754.391.730.120,1.966.017.371.049.850,C4
29.087.117.907.704.100,2.567.917.350.625.750,C4
2.694.513.243.862.030,12.983.941.639.469.900,C4
2.930.315.758.989.560,10.336.991.797.258.900,C4
2.263.236.969.733.200,16.609.944.865.940.900,C4
2.941.638.616.510.420,21.877.103.570.355.800,C4
3.198.011.620.513.610,20.661.654.171.744.000,C4
30.565.551.744.492.500,33.483.063.849.419.800,C4
2.346.492.664.777.430,28.206.718.571.995.100,C4
23.230.556.150.527.400,2.673.227.293.366.900,C4
17.978.456.663.611.900,3.073.733.382.282.090,C4
15.017.187.262.856.200,29.847.202.323.187.500,C4
24.787.419.665.500.900,2.206.471.408.597.860,C4
